symbol,tier,category,notes
SPY,1,etf,SPDR S&P 500 ETF - Primary 0DTE target (Core Daily 0DTE)
QQQ,1,etf,Invesco QQQ Trust - Primary 0DTE target (Core Daily 0DTE)
IWM,1,etf,iShares Russell 2000 ETF - High volatility (Core Daily 0DTE)
SPX,1,index,"S&P 500 Index - Cash-settled, pro mode (Core Daily 0DTE)"
NVDA,2,equity,"AI leader, extreme gamma (Mega-cap/Institutional Momentum)"
AMD,2,equity,ORB monster (Mega-cap/Institutional Momentum)
TSLA,2,equity,Volatility king (Mega-cap/Institutional Momentum)
META,2,equity,Clean momentum (Mega-cap/Institutional Momentum)
AMZN,2,equity,Liquidity + trend (Mega-cap/Institutional Momentum)
AAPL,2,equity,Stable ORB (Mega-cap/Institutional Momentum)
MSFT,2,equity,Structure + flow (Mega-cap/Institutional Momentum)
AVGO,2,equity,Semiconductor strength (Mega-cap/Institutional Momentum)
ARM,2,equity,High beta (Mega-cap/Institutional Momentum)
ASML,2,equity,Global chip bottleneck (Mega-cap/Institutional Momentum)
SMCI,2,equity,Explosive momentum (Mega-cap/Institutional Momentum)
COIN,3,equity,Crypto proxy (Thematic/Sector Momentum)
HOOD,3,equity,Retail options flow (Thematic/Sector Momentum)
NET,3,equity,Cloud momentum (Thematic/Sector Momentum)
PLTR,3,equity,AI narrative (Thematic/Sector Momentum)
QCOM,3,equity,Semiconductors (Thematic/Sector Momentum)
MU,3,equity,Memory cycles (Thematic/Sector Momentum)
PWR,3,equity,Infrastructure (Thematic/Sector Momentum)
EQIX,3,equity,Data centers (Thematic/Sector Momentum)
CEG,3,equity,Energy (Thematic/Sector Momentum)
VST,3,equity,Power generation (Thematic/Sector Momentum)
OKLO,3,equity,Nuclear theme (Thematic/Sector Momentum)
CRWV,3,equity,AI cloud / GPU infrastructure (Thematic/Sector Momentum)
CRWD,3,equity,CrowdStrike Holdings (Thematic/Sector Momentum)
SOFI,4,equity,Retail momentum (High-Beta/Retail Volatility)
HIMS,4,equity,Retail momentum (High-Beta/Retail Volatility)
DAL,4,equity,Cyclical (High-Beta/Retail Volatility)
AAL,4,equity,Cyclical (High-Beta/Retail Volatility)
GLD,4,etf,Gold volatility (High-Beta/Retail Volatility)
RGTI,4,equity,Speculative (High-Beta/Retail Volatility)
IREN,4,equity,Crypto miner (High-Beta/Retail Volatility)
CIFR,4,equity,Crypto miner (High-Beta/Retail Volatility)
CLSK,4,equity,Crypto miner (High-Beta/Retail Volatility)
WULF,4,equity,Crypto miner (High-Beta/Retail Volatility)
